"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"경기도","이천시",남성,55,52,56,67,78,86,89,99,108,106
"경기도","이천시",여성,622,612,641,632,632,673,715,744,745,769
"경기도","파주시",남성,204,213,214,220,242,264,283,314,333,364
"경기도","파주시",여성,1102,1133,1131,1151,1230,1276,1355,1405,1467,1557
"경기도","평택시",남성,382,405,431,468,506,589,626,691,718,741
"경기도","평택시",여성,1583,1642,1686,1826,1922,2171,2376,2557,2633,2831
"경기도","포천시",남성,117,110,107,108,116,121,121,132,141,152
"경기도","포천시",여성,703,684,677,696,688,715,725,724,729,768
"경기도","하남시",남성,42,44,59,63,71,89,103,120,124,133
"경기도","하남시",여성,313,319,340,366,398,447,469,544,566,587
"경기도","화성시",남성,237,336,395,452,528,644,735,766,824,873
"경기도","화성시",여성,1500,1888,2069,2248,2533,2809,3016,3102,3202,3410
"경상남도","소계",남성,897,1006,1150,1269,1396,1555,1693,1808,1933,2051
"경상남도","소계",여성,8673,8820,8853,8921,8884,9115,9172,8897,8653,8844
"경상북도","소계",남성,540,574,629,697,772,841,904,977,1053,1106
"경상북도","소계",여성,7178,7074,7060,7076,7217,7253,7153,6981,6828,6946
"광주광역시","소계",남성,293,316,337,383,421,478,520,562,605,649
"광주광역시","소계",여성,2957,2993,3042,3071,3090,3178,3212,3142,3149,3193
"대구광역시","소계",남성,598,632,661,708,768,845,867,897,955,1000
"대구광역시","소계",여성,4255,4263,4349,4469,4611,4783,4679,4560,4520,4790
"대전광역시","소계",남성,387,395,404,406,410,416,454,469,476,498
"대전광역시","소계",여성,3109,3106,3025,3009,2976,3043,3005,2935,2879,2983
"부산광역시","소계",남성,901,932,970,1050,1079,1189,1254,1313,1356,1423
"부산광역시","소계",여성,5945,5999,6071,6165,6200,6266,6155,6008,5937,6092
"서울특별시","소계",남성,7513,7430,7264,7319,7414,7572,7752,7719,7818,7831
"서울특별시","소계",여성,21487,20810,20209,20172,20147,20528,20131,19608,19521,19968
"서울특별시","강남구",남성,204,216,208,195,209,199,210,212,248,248
"서울특별시","강남구",여성,565,566,537,515,500,520,529,504,526,569
"서울특별시","강동구",남성,158,148,141,153,141,147,177,183,186,194
"서울특별시","강동구",여성,874,795,728,709,715,727,784,794,798,849
"서울특별시","강북구",남성,137,140,139,137,124,124,133,128,139,136
"서울특별시","강북구",여성,782,780,765,758,758,777,769,720,701,704
"서울특별시","강서구",남성,294,294,310,313,344,350,347,348,350,352
"서울특별시","강서구",여성,1158,1166,1174,1206,1236,1278,1239,1241,1231,1238
"서울특별시","관악구",남성,519,490,455,472,457,442,421,400,394,390
"서울특별시","관악구",여성,1283,1227,1199,1170,1150,1141,1125,1052,1041,1082
"서울특별시","광진구",남성,279,270,246,227,225,225,230,237,240,253
"서울특별시","광진구",여성,861,842,830,832,823,834,797,773,771,777
"서울특별시","구로구",남성,805,824,833,876,884,950,949,944,968,948
"서울특별시","구로구",여성,1664,1567,1534,1527,1532,1573,1559,1518,1523,1541
"서울특별시","금천구",남성,495,481,471,510,535,557,567,566,566,556
"서울특별시","금천구",여성,1082,1060,1035,1058,1059,1076,1049,1033,1038,1066
"서울특별시","노원구",남성,193,183,185,188,196,189,200,208,208,212
"서울특별시","노원구",여성,752,772,757,765,730,757,759,734,713,738
"서울특별시","도봉구",남성,108,105,105,115,122,113,120,127,122,129
"서울특별시","도봉구",여성,561,525,534,547,556,576,577,550,545,571
"서울특별시","동대문구",남성,262,253,246,263,250,255,247,229,233,241
"서울특별시","동대문구",여성,969,909,874,854,843,879,823,812,814,821
"서울특별시","동작구",남성,275,270,267,244,250,249,248,246,237,242
"서울특별시","동작구",여성,739,706,698,701,677,674,631,591,580,627
"서울특별시","마포구",남성,267,278,268,268,271,270,282,293,313,300
"서울특별시","마포구",여성,749,746,719,726,722,723,721,715,737,753
"서울특별시","서대문구",남성,168,169,170,181,187,196,218,229,229,252
"서울특별시","서대문구",여성,598,591,574,567,590,614,608,593,589,607
"서울특별시","서초구",남성,195,194,199,207,218,232,239,246,255,285
"서울특별시","서초구",여성,401,424,405,414,426,444,432,432,411,429
"서울특별시","성동구",남성,218,217,228,243,243,251,250,238,227,229
"서울특별시","성동구",여성,680,660,641,654,682,681,653,599,567,551
"서울특별시","성북구",남성,191,205,208,203,203,210,236,239,234,242
"서울특별시","성북구",여성,933,882,857,839,821,825,782,776,782,771
"서울특별시","송파구",남성,276,273,281,273,287,304,311,315,311,311
"서울특별시","송파구",여성,883,849,840,878,930,960,918,910,920,908
"서울특별시","양천구",남성,236,251,218,218,194,208,203,206,217,212
"서울특별시","양천구",여성,807,788,781,782,767,779,766,757,748,753
"서울특별시","영등포구",남성,971,934,873,820,816,815,825,786,765,741
"서울특별시","영등포구",여성,1622,1548,1423,1393,1349,1344,1330,1275,1272,1310
"서울특별시","용산구",남성,516,508,520,501,512,508,497,490,506,496
"서울특별시","용산구",여성,650,636,606,610,580,596,583,582,587,583
"서울특별시","은평구",남성,249,241,219,226,250,267,290,299,308,307
"서울특별시","은평구",여성,996,973,948,943,952,1016,985,959,926,965
"서울특별시","종로구",남성,174,179,161,170,187,181,212,211,219,216
"서울특별시","종로구",여성,435,428,393,386,395,392,371,359,352,354
"서울특별시","중구",남성,135,135,143,147,151,163,167,165,166,169
"서울특별시","중구",여성,427,397,400,396,404,411,402,400,402,411
"서울특별시","중랑구",남성,188,172,170,169,158,167,173,174,177,170
"서울특별시","중랑구",여성,1016,973,957,942,950,931,939,929,947,990
"세종특별자치시","소계",남성,43,68,83,102,118,129,145,141,158,166
"세종특별자치시","소계",여성,375,456,521,582,624,670,684,674,682,717
"울산광역시","소계",남성,365,409,425,445,466,502,521,531,542,551
"울산광역시","소계",여성,2684,2833,2933,2913,2906,2974,2910,2815,2815,2843
"인천광역시","소계",남성,1489,1517,1653,1868,2056,2285,2437,2570,2748,2867
"인천광역시","소계",여성,7394,7609,7641,7905,8216,8692,8849,8998,9191,9698
"전라남도","소계",남성,227,229,249,290,321,371,407,456,515,568
"전라남도","소계",여성,6634,6508,6560,6367,6285,6342,6367,6193,6096,6209
"전북특별자치도","소계",남성,303,324,331,370,417,458,503,539,587,626
"전북특별자치도","소계",여성,5522,5631,5626,5605,5603,5561,5582,5449,5334,5366
"제주특별자치도","소계",남성,233,267,302,324,359,374,410,448,486,508
"제주특별자치도","소계",여성,1846,1904,2028,2192,2258,2367,2404,2402,2404,2516
"충청남도","소계",남성,649,680,707,749,825,948,1028,1132,1227,1298
"충청남도","소계",여성,7207,7216,7258,7360,7559,7871,7826,7801,7706,8013
"충청북도","소계",남성,436,468,491,510,580,647,684,733,766,810
"충청북도","소계",여성,4322,4316,4326,4444,4618,4779,4859,4866,4740,4923
"기타","소계",남성,-,0,-,-,0,-,-,-,-,-
"기타","소계",여성,-,0,-,-,0,-,-,-,-,-
